AI Dice Count, Total Dice Count, Active Player Count, Starting Dice, Starting Players
1,2,2,2,3
1,3,2,2,3
1,2,2,3,3
1,3,2,3,3
1,4,2,3,3
1,5,2,3,3
2,3,2,3,3
2,4,2,3,3
2,5,2,3,3
1,2,2,4,3
1,3,2,4,3
1,4,2,4,3
1,5,2,4,3
1,6,2,4,3
1,7,2,4,3
2,3,2,4,3
2,4,2,4,3
2,5,2,4,3
2,6,2,4,3
2,7,2,4,3
3,4,2,4,3
3,5,2,4,3
3,6,2,4,3
3,7,2,4,3
1,2,2,5,3
1,3,2,5,3
1,4,2,5,3
1,5,2,5,3
1,6,2,5,3
1,7,2,5,3
1,8,2,5,3
1,9,2,5,3
2,3,2,5,3
2,4,2,5,3
2,5,2,5,3
2,6,2,5,3
2,7,2,5,3
2,8,2,5,3
2,9,2,5,3
3,4,2,5,3
3,5,2,5,3
3,6,2,5,3
3,7,2,5,3
3,8,2,5,3
3,9,2,5,3
4,5,2,5,3
4,6,2,5,3
4,7,2,5,3
4,8,2,5,3
4,9,2,5,3
1,2,2,6,3
1,3,2,6,3
1,4,2,6,3
1,5,2,6,3
1,6,2,6,3
1,7,2,6,3
1,8,2,6,3
1,9,2,6,3
1,10,2,6,3
1,11,2,6,3
2,3,2,6,3
2,4,2,6,3
2,5,2,6,3
2,6,2,6,3
2,7,2,6,3
2,8,2,6,3
2,9,2,6,3
2,10,2,6,3
2,11,2,6,3
3,4,2,6,3
3,5,2,6,3
3,6,2,6,3
3,7,2,6,3
3,8,2,6,3
3,9,2,6,3
3,10,2,6,3
3,11,2,6,3
4,5,2,6,3
4,6,2,6,3
4,7,2,6,3
4,8,2,6,3
4,9,2,6,3
4,10,2,6,3
4,11,2,6,3
5,6,2,6,3
5,7,2,6,3
5,8,2,6,3
5,9,2,6,3
5,10,2,6,3
5,11,2,6,3
1,2,2,7,3
1,3,2,7,3
1,4,2,7,3
1,5,2,7,3
1,6,2,7,3
1,7,2,7,3
1,8,2,7,3
1,9,2,7,3
1,10,2,7,3
1,11,2,7,3
1,12,2,7,3
1,13,2,7,3
2,3,2,7,3
2,4,2,7,3
2,5,2,7,3
2,6,2,7,3
2,7,2,7,3
2,8,2,7,3
2,9,2,7,3
2,10,2,7,3
2,11,2,7,3
2,12,2,7,3
2,13,2,7,3
3,4,2,7,3
3,5,2,7,3
3,6,2,7,3
3,7,2,7,3
3,8,2,7,3
3,9,2,7,3
3,10,2,7,3
3,11,2,7,3
3,12,2,7,3
3,13,2,7,3
4,5,2,7,3
4,6,2,7,3
4,7,2,7,3
4,8,2,7,3
4,9,2,7,3
4,10,2,7,3
4,11,2,7,3
4,12,2,7,3
4,13,2,7,3
5,6,2,7,3
5,7,2,7,3
5,8,2,7,3
5,9,2,7,3
5,10,2,7,3
5,11,2,7,3
5,12,2,7,3
5,13,2,7,3
6,7,2,7,3
6,8,2,7,3
6,9,2,7,3
6,10,2,7,3
6,11,2,7,3
6,12,2,7,3
6,13,2,7,3
1,2,2,8,3
1,3,2,8,3
1,4,2,8,3
1,5,2,8,3
1,6,2,8,3
1,7,2,8,3
1,8,2,8,3
1,9,2,8,3
1,10,2,8,3
1,11,2,8,3
1,12,2,8,3
1,13,2,8,3
1,14,2,8,3
1,15,2,8,3
2,3,2,8,3
2,4,2,8,3
2,5,2,8,3
2,6,2,8,3
2,7,2,8,3
2,8,2,8,3
2,9,2,8,3
2,10,2,8,3
2,11,2,8,3
2,12,2,8,3
2,13,2,8,3
2,14,2,8,3
2,15,2,8,3
3,4,2,8,3
3,5,2,8,3
3,6,2,8,3
3,7,2,8,3
3,8,2,8,3
3,9,2,8,3
3,10,2,8,3
3,11,2,8,3
3,12,2,8,3
3,13,2,8,3
3,14,2,8,3
3,15,2,8,3
4,5,2,8,3
4,6,2,8,3
4,7,2,8,3
4,8,2,8,3
4,9,2,8,3
4,10,2,8,3
4,11,2,8,3
4,12,2,8,3
4,13,2,8,3
4,14,2,8,3
4,15,2,8,3
5,6,2,8,3
5,7,2,8,3
5,8,2,8,3
5,9,2,8,3
5,10,2,8,3
5,11,2,8,3
5,12,2,8,3
5,13,2,8,3
5,14,2,8,3
5,15,2,8,3
6,7,2,8,3
6,8,2,8,3
6,9,2,8,3
6,10,2,8,3
6,11,2,8,3
6,12,2,8,3
6,13,2,8,3
6,14,2,8,3
6,15,2,8,3
7,8,2,8,3
7,9,2,8,3
7,10,2,8,3
7,11,2,8,3
7,12,2,8,3
7,13,2,8,3
7,14,2,8,3
7,15,2,8,3
1,2,2,9,3
